time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-22T04:51:53.489Z,43.132,-126.3821,10,3,ml,,249,1.548,0.63,us,us70007un6,2020-02-22T18:01:48.369Z,"159km WNW of Port Orford, Oregon",earthquake,9.2,2,0.039,86,reviewed,us,us
2020-02-20T06:04:00.670Z,40.4585,-125.6308333,12.26,3.32,ml,47,260,0.9869,0.27,nc,nc73343650,2020-02-21T01:50:02.754Z,"115km W of Petrolia, CA",earthquake,2.67,4.38,0.255,35,reviewed,nc,nc
2020-02-19T21:38:06.692Z,43.715,-127.9085,10,4.5,mb,,192,1.97,0.97,us,us70007t8b,2020-02-26T09:34:26.918Z,"291km WNW of Bandon, Oregon",earthquake,8.1,1.9,0.057,91,reviewed,us,us
2020-02-16T13:27:33.599Z,41.7963,-126.005,10,2.9,ml,,241,1.389,0.42,us,us70007rbc,2020-02-23T15:58:58.040Z,"145km W of Brookings, Oregon",earthquake,5.9,2,0.047,59,reviewed,us,us
2020-02-08T15:34:56.231Z,43.2892,-126.8347,10,4.7,mb,,182,2.081,1,us,us70007lj1,2020-02-09T02:17:58.757Z,"198km W of Bandon, Oregon",earthquake,5.9,1.8,0.056,97,reviewed,us,us
2020-01-25T06:34:22.249Z,40.3335,-126.7836,10,3,ml,,263,1.867,0.82,us,us60007fhv,2020-02-12T10:43:57.040Z,"215km W of Ferndale, California",earthquake,2.4,2,0.045,65,reviewed,us,us
2020-01-12T16:22:29.049Z,40.6126,-126.9946,10,3.1,ml,,257,2.199,0.43,us,us70006ysr,2020-01-27T17:16:45.451Z,"231km W of Ferndale, California",earthquake,8.7,2,0.049,55,reviewed,us,us
2020-01-01T12:09:25.560Z,40.36,-125.2675,8.75,2.72,md,17,307,0.7107,0.28,nc,nc73322156,2020-01-30T10:39:06.040Z,"83km W of Petrolia, CA",earthquake,12.92,12.82,0.185,22,reviewed,nc,nc
2019-12-28T20:07:32.641Z,42.0142,-126.1697,10,2.7,ml,,246,1.459,0.6,us,us70006rz1,2020-01-15T02:40:05.040Z,"150km WSW of Gold Beach, Oregon",earthquake,6.7,2,0.041,80,reviewed,us,us
2019-12-28T15:36:39.547Z,43.2448,-126.9524,10,3,ml,,284,1.954,0.71,us,us70006rx3,2020-03-02T15:17:34.040Z,"207km W of Bandon, Oregon",earthquake,4.7,2,0.048,56,reviewed,us,us
2019-12-28T11:03:48.489Z,42.0188,-126.1219,10,4.5,mb,,251,1.423,1.05,us,us70006rvc,2020-02-10T06:14:13.040Z,"146km WSW of Gold Beach, Oregon",earthquake,7.8,2,0.06,80,reviewed,us,us
